,freq_oracle,info,mse,average_error,k_mse,k_average_error,median_abs_deviation,max_error,max_item,min_error,client_time,server_init_time,server_agg_time,server_est_time,server_time,total_time
0,Multi-PCMS-Mean,k=2,0.38524785685194746,0.6063510966999951,0.180684661696,0.3902884,0.59935,1.08376,66035,0.03889,0.0,0.0008254051208496094,58.142272233963006,1.1020023822784424,59.24510002136231,59.24510002136231
1,Multi-PCMS-Mean,k=4,0.3816811932399609,0.6086472075000029,0.168824371898,0.3787206000000001,0.60593,1.07333,19903,0.0091,0.0,0.0010738372802734377,46.25220680236816,1.7134718894958496,47.96675252914429,47.96675252914429
2,Multi-PCMS-Mean,k=8,0.3952043533732117,0.6225717992999974,0.148947180342,0.35422419999999993,0.621085,1.04319,60993,0.00774,0.0,0.001745462417602539,55.02327108383179,4.497323989868164,59.52234053611755,59.52234053611755
3,Multi-PCMS-Mean,k=16,0.3842859341299129,0.6146382052000048,0.159146370832,0.3679092,0.61431,0.99072,92047,0.02256,0.0,0.002141237258911133,59.32635521888733,4.165974140167236,63.49447059631348,63.49447059631348
4,Multi-PCMS-Mean,k=32,0.38810274702758935,0.6188304418000006,0.16022444351400006,0.3679086000000001,0.61859,0.9406899999999999,8621,0.00303,0.0,0.0006375312805175781,60.3292977809906,8.202725410461426,68.53266072273253,68.53266072273253
5,Multi-PCMS-Mean,k=64,0.3731493353758584,0.6068232348999956,0.15950035446799998,0.3687796,0.6067899999999999,0.88733,36238,0.01834,0.0,0.05574345588684082,61.06416630744934,24.744245767593387,85.86415553092957,85.86415553092957
6,Multi-PCMS-Mean,k=128,0.3673913036325235,0.6022015759000005,0.17326894680399996,0.3794152,0.60228,0.90884,5351,0.00792,0.0,0.04315853118896485,45.93837189674378,37.381267786026,83.36279821395873,83.36279821395873
7,Multi-PCMS-Mean,k=256,0.37455439293788334,0.6081657290000057,0.17002123464999996,0.3797326,0.60829,0.88228,85966,0.00812,0.0,0.10094308853149414,56.57739663124085,62.99305081367493,119.67139053344728,119.67139053344728
8,Multi-PCMS-Mean,k=2,0.396322430869378,0.6156925332999991,0.18775439696200005,0.39425540000000003,0.605745,1.11705,84482,0.04371,0.0,0.000713348388671875,52.218709230422974,0.8882882595062256,53.10771083831787,53.10771083831787
9,Multi-PCMS-Mean,k=4,0.3768837557515266,0.6049685994000054,0.14728664071400002,0.34864700000000004,0.60238,1.0692,91719,0.00124,0.0,0.0006527900695800781,53.614243507385254,1.7190294265747068,55.33392572402954,55.33392572402954
10,Multi-PCMS-Mean,k=8,0.3886154831362864,0.6173040053999975,0.16787650307,0.3755053999999999,0.616,1.02776,25255,0.02895,0.0,0.0015189647674560547,47.37103581428528,2.3179030418396,49.69045782089234,49.69045782089234
11,Multi-PCMS-Mean,k=16,0.3774059409133612,0.6091111362999975,0.16208539318,0.3722956000000001,0.608825,0.94282,9925,0.01787,0.0,0.0006363391876220702,47.94436264038086,4.206325769424439,52.15132474899292,52.15132474899292
12,Multi-PCMS-Mean,k=32,0.3682240929236844,0.6022925132000034,0.156961755754,0.3684961999999999,0.60192,0.95149,10917,0.01831,0.0,0.0007245540618896482,54.9892144203186,13.514928817749025,68.50486779212953,68.50486779212953
13,Multi-PCMS-Mean,k=64,0.3779594289731847,0.6107931681000023,0.16876633898200002,0.3772149999999999,0.61121,0.92232,28686,0.033339999999999995,0.0,0.05617332458496094,61.34476923942566,19.473865985870358,80.87480854988098,80.87480854988098
14,Multi-PCMS-Mean,k=128,0.39596923711744864,0.6255352628000054,0.175765276558,0.3879594,0.6255149999999999,0.93776,49023,0.00175,0.0,0.044666051864624016,48.29996752738953,39.34506583213806,87.68969941139221,87.68969941139221
15,Multi-PCMS-Mean,k=256,0.3816302144171077,0.6140278028999898,0.169070315448,0.3782600000000001,0.6139100000000001,0.92108,58322,0.00868,0.0,0.1035313606262207,61.85075306892395,65.57153391838075,127.52581834793092,127.52581834793092
16,Multi-PCMS-Mean,k=2,0.3906358481296643,0.6105360522999987,0.18295342525600009,0.3882992,0.60611,1.02997,68097,0.0145,0.0,0.0007975101470947268,55.3716676235199,0.8837506771087646,56.25621581077576,56.25621581077576
17,Multi-PCMS-Mean,k=4,0.4007606120321723,0.622769008799995,0.188116074256,0.40372359999999996,0.6179899999999999,1.18742,84317,0.05212000000000002,0.0,0.0006582736968994143,47.900049924850464,1.5193419456481934,49.420050144195564,49.420050144195564
18,Multi-PCMS-Mean,k=8,0.37158290544064665,0.6028692046000128,0.14931464490799998,0.3539556,0.60235,0.97364,98984,0.01286,0.0,0.0006387233734130857,47.11486768722534,2.986792087554932,50.10229849815369,50.10229849815369
19,Multi-PCMS-Mean,k=16,0.37976334545935,0.6111572433000066,0.16683466067400002,0.3761710000000001,0.61047,0.95095,40815,0.007240000000000002,0.0,0.0023419857025146484,65.03732991218567,6.204787731170652,71.24445962905885,71.24445962905885
20,Multi-PCMS-Mean,k=32,0.3799379520503103,0.6123926518000118,0.15059227242200002,0.35968140000000004,0.61217,0.91935,31605,0.034089999999999995,0.0,0.05835723876953125,54.97560381889343,11.34022831916809,66.37418937683104,66.37418937683104
21,Multi-PCMS-Mean,k=64,0.3946500807360493,0.6243389779999903,0.18597101372000002,0.3966296,0.624555,0.93687,61259,0.00242,0.0,0.04406070709228516,69.00583958625792,19.810546875,88.86044716835022,88.86044716835022
22,Multi-PCMS-Mean,k=128,0.3797934398608078,0.612516806900008,0.17833825316,0.3863883999999999,0.61222,0.9396700000000001,22009,0.00428,0.0,0.09520912170410156,46.88439297676086,33.69248342514038,80.67208552360535,80.67208552360535
