,freq_oracle,info,mse,average_error,k_mse,k_average_error,median_abs_deviation,max_error,max_item,min_error,client_time,server_init_time,server_agg_time,server_est_time,server_time,total_time
0,nCMS,items=1,3.5648460864,1.88808,3.5648460864,1.88808,1.88808,1.88808,0,1.88808,0.0,0.0014009475708007,1826.132226228714,1.0581934452056885,1827.1918206214905,1827.1918206214905
1,MultiCMS,items=1,0.05692996,0.2386,0.05692996,0.2386,0.2386,0.2386,0,0.2386,0.0,0.0014328956604003,39.3341760635376,2.082418203353882,41.41802716255188,41.41802716255188
2,SketchMin,items=1,0.1633453056,0.40416,0.1633453056,0.40416,0.40416,0.40416,0,0.40416,0.0,0.0012500286102294,88.2437846660614,2.480155229568481,90.72518992424013,90.72518992424013
3,PCMS,items=1,0.3042404963999999,0.55158,0.3042404963999999,0.55158,0.55158,0.55158,0,0.55158,0.0,0.0014493465423583,221.43482542037964,0.1481180191040039,221.584392786026,221.584392786026
4,sPCMS,items=1,0.0024492601,0.04949,0.0024492601,0.04949,0.04949,0.04949,0,0.04949,0.0,0.0014369487762451,169.5658402442932,0.2320456504821777,169.79932284355164,169.79932284355164
5,nCMS,items=1,0.3457910416,0.58804,0.3457910416,0.58804,0.58804,0.58804,0,0.58804,0.0,0.0012531280517578,1760.0081889629364,1.0970823764801023,1761.1065244674685,1761.1065244674685
6,MultiCMS,items=1,0.0001345599999999,0.0116,0.0001345599999999,0.0116,0.0116,0.0116,0,0.0116,0.0,0.0008041858673095,41.8264479637146,1.7974400520324707,43.62469220161438,43.62469220161438
7,SketchMin,items=1,0.1082804836,0.32906,0.1082804836,0.32906,0.32906,0.32906,0,0.32906,0.0,0.0012025833129882,96.9417712688446,3.950678586959839,100.89365243911745,100.89365243911745
8,PCMS,items=1,0.8206910463999999,0.90592,0.8206910463999999,0.90592,0.90592,0.90592,0,0.90592,0.0,0.0017347335815429,220.5382523536682,0.1439182758331298,220.68390536308289,220.68390536308289
9,sPCMS,items=1,6.67489e-05,0.00817,6.67489e-05,0.00817,0.00817,0.00817,0,0.00817,0.0,0.0013625621795654,179.76171612739563,0.2838106155395508,180.04688930511475,180.04688930511475
10,nCMS,items=1,0.3217612176,0.56724,0.3217612176,0.56724,0.56724,0.56724,0,0.56724,0.0,0.0008857250213623,1823.106679677964,1.1461095809936523,1824.2536749839785,1824.2536749839785
11,MultiCMS,items=1,0.0702515025,0.26505,0.0702515025,0.26505,0.26505,0.26505,0,0.26505,0.0,0.0009148120880126,49.27324318885803,1.4433836936950684,50.71754169464111,50.71754169464111
12,SketchMin,items=1,0.4358112255999999,0.66016,0.4358112255999999,0.66016,0.66016,0.66016,0,0.66016,0.0,0.0013918876647949,94.65589570999146,2.8080549240112305,97.46534252166748,97.46534252166748
13,PCMS,items=1,1.1825910008999998,1.08747,1.1825910008999998,1.08747,1.08747,1.08747,0,1.08747,0.0,0.001270055770874,249.21083879470825,0.1919004917144775,249.4040093421936,249.4040093421936
14,sPCMS,items=1,0.0005031049,0.02243,0.0005031049,0.02243,0.02243,0.02243,0,0.02243,0.0,0.0016005039215087,191.57805347442627,0.2650599479675293,191.8447139263153,191.8447139263153
