,freq_oracle,info,mse,average_error,k_mse,k_average_error,median_abs_deviation,max_error,max_item,min_error,client_time,server_init_time,server_agg_time,server_est_time,server_time,total_time
0,Multi-PCMS-Mean,e=2,0.5554313604444856,0.5957292089999869,0.4443851842,0.555006,0.4999,2.9893,764,0.0,0.0,0.0007522106170654298,6.257495164871216,2.50984001159668,8.768087387084961,8.768087387084961
1,Multi-PCMS-Mean,e=4,0.222732629484788,0.3916679259999951,0.132784192,0.284884,0.358,1.7480000000000002,25817,0.0,0.0,0.0006716251373291018,5.524008512496948,1.3409066200256348,6.865586757659912,6.865586757659912
2,Multi-PCMS-Mean,e=8,0.18176209497591084,0.3916582710000045,0.11816763519999998,0.3004200000000001,0.3877,1.1464,54036,0.0001,0.0,0.0007140636444091798,5.9103753566741934,2.6716434955596924,8.582732915878296,8.582732915878296
3,Multi-PCMS-Mean,e=16,0.16483272864401144,0.3905145200000391,0.09282788780000004,0.275558,0.3829,0.9645,52229,0.0048,0.0,0.0007741451263427732,5.574264049530028,2.640799760818481,8.215837955474854,8.215837955474854
4,Multi-PCMS-Mean,e=32,0.14915879855670713,0.3753849590000016,0.07204658439999999,0.248324,0.3622,0.8787,40554,0.036000000000000004,0.0,0.0007548332214355469,5.8568079471588135,1.4414372444152832,7.299000024795532,7.299000024795532
5,Multi-PCMS-Mean,e=64,0.1488472209895985,0.3769581820000028,0.07657848379999999,0.25393000000000004,0.3617,0.8661,40554,0.0019,0.0,0.00079345703125,5.230489730834961,1.3288917541503906,6.5601749420166025,6.5601749420166025
6,Multi-PCMS-Mean,e=128,0.14922959646920025,0.37789236199999854,0.0741606184,0.251624,0.3602,0.8755,81621,0.0003,0.0,0.0007197856903076173,5.040932655334473,1.343348264694214,6.385000705718994,6.385000705718994
7,Multi-PCMS-Mean,e=2,0.5262549757673766,0.5783151819999821,0.3987874882000002,0.473594,0.4869,3.1367,20992,0.0,0.0,0.0007402896881103518,6.519460439682008,2.339676856994629,8.859877586364746,8.859877586364746
8,Multi-PCMS-Mean,e=4,0.23632551994368506,0.40239585499999775,0.13451184319999998,0.29650799999999994,0.3654,1.7735,11148,0.0,0.0,0.005140066146850586,5.030249357223512,1.3306748867034912,6.3660643100738525,6.3660643100738525
9,Multi-PCMS-Mean,e=8,0.1840138568056076,0.3916263659999975,0.12223975100000002,0.302014,0.3876,1.1365,20568,0.0,0.0,0.005141973495483398,4.955746650695801,1.3236823081970217,6.2845709323883066,6.2845709323883066
10,Multi-PCMS-Mean,e=16,0.15533542401491454,0.3774112130000324,0.0836716314,0.26214999999999994,0.37,0.9884,86521,0.0017,0.0,0.005162239074707031,4.589401721954347,2.0655717849731445,6.660135746002197,6.660135746002197
11,Multi-PCMS-Mean,e=32,0.15320510643710836,0.3808112250000033,0.07890178759999998,0.25768,0.3685,0.905,41270,0.0078,0.0,0.004934787750244141,4.599953889846802,1.5527493953704834,6.157638072967527,6.157638072967527
12,Multi-PCMS-Mean,e=64,0.150753667513196,0.37989918799999706,0.07358627499999998,0.25048200000000004,0.3638,0.8518,81621,0.0064,0.0,0.0007305145263671875,4.677348613739014,2.258488178253174,6.936567306518555,6.936567306518555
13,Multi-PCMS-Mean,e=128,0.14945530978169874,0.3781888610000048,0.0738843072,0.2513520000000001,0.3609,0.8579,81621,0.0075,0.0,0.0007565021514892577,5.533428907394409,1.4051806926727295,6.939366102218628,6.939366102218628
