,freq_oracle,info,mse,average_error,k_mse,k_average_error,median_abs_deviation,max_error,max_item,min_error,client_time,server_init_time,server_agg_time,server_est_time,server_time,total_time
0,Multi-PCMS-Mean,e=2,0.02689653572064375,0.1418388549581958,0.02652614801582968,0.13342214674147446,0.1372100066514214,0.5624342285597085,1029040,0.0,0.0,0.0009665489196777344,215.1264934539795,26.47095251083374,241.5984125137329,241.5984125137329
1,Multi-PCMS-Mean,e=4,0.02190021888281959,0.14090232077777115,0.018834263125524327,0.12908373315340635,0.14168677747257485,0.3211793142710368,1464113,3.833672293858649e-06,0.0,0.0009050369262695312,195.07969450950625,28.57515549659729,223.65575504302976,223.65575504302976
2,Multi-PCMS-Mean,e=8,0.01966336815673263,0.13800620916769993,0.016905408285407268,0.1273224674281618,0.13764225320255402,0.27392163590464125,1040302,0.02523514787432456,0.0,0.0007314682006835938,250.1127722263336,34.0229127407074,284.1364164352417,284.1364164352417
3,Multi-PCMS-Mean,e=16,0.018563731981067345,0.1354979213921801,0.015170144644047404,0.12225695955284052,0.13484942293647798,0.22283028524438706,1064425,0.07707981514032199,0.0,0.003104686737060547,202.95529794693002,26.523650884628296,229.4820535182953,229.4820535182953
4,Multi-PCMS-Mean,e=32,0.01824981140938509,0.1346269835736379,0.01428409099167022,0.11872415386060385,0.13327378362370207,0.2378046092241989,1064425,0.08353188561088609,0.0,0.0013930797576904295,238.47359013557445,33.500548124313354,271.97553133964544,271.97553133964544
5,Multi-PCMS-Mean,e=64,0.018210808084794063,0.13457466774492952,0.014728272042067591,0.1206306007556168,0.1327466536832965,0.22856354215985264,1064425,0.08691701824636329,0.0,0.0005824565887451173,250.36779999732968,29.45475721359253,279.823139667511,279.823139667511
6,Multi-PCMS-Mean,e=128,0.01822879588716884,0.13466038404800168,0.014519275495968443,0.11988429977017134,0.1326297266783338,0.2306471430515648,832377,0.0898210250089612,0.0,0.0020895004272460933,221.45842337608337,25.942107677459717,247.40262055397042,247.40262055397042
7,Multi-PCMS-Mean,e=2,0.02810890458323571,0.14599691148530788,0.02390503428121221,0.1322682497177459,0.14188996210414934,0.5619511858506823,998084,0.0,0.0,0.0024433135986328125,238.35336017608643,36.84749603271485,275.2032995223999,275.2032995223999
8,Multi-PCMS-Mean,e=4,0.01987481098288996,0.13438499496574804,0.01496704828754426,0.11481008945874298,0.13454847966141004,0.3331940432399898,104574,1.5334689175434595e-05,0.0,0.001706838607788086,221.9065330028534,32.57918643951416,254.4874262809753,254.4874262809753
9,Multi-PCMS-Mean,e=8,0.019145366840848662,0.13621990141528886,0.0152803615451157,0.12096811726436812,0.13580400733764875,0.2720814732035891,589245,0.035906174704280105,0.0,0.10509991645812987,243.91012406349185,30.12464904785156,274.1398730278015,274.1398730278015
10,Multi-PCMS-Mean,e=16,0.018009174151731384,0.13335784693459762,0.013804590126478777,0.11643269125711865,0.1325760552662198,0.2455773797999973,832377,0.06943547258636784,0.0,0.18810820579528809,220.17548990249642,35.8112735748291,256.17487168312067,256.17487168312067
11,Multi-PCMS-Mean,e=32,0.01819626339952753,0.13440405903334515,0.014620291109845775,0.12030688546712336,0.1329095847557855,0.23120685920646816,1064425,0.0934285106374822,0.0,0.10570454597473143,212.2440555095673,27.302066564559933,239.651826620102,239.651826620102
12,Multi-PCMS-Mean,e=64,0.01823923725962771,0.13467456387249016,0.014636088870079828,0.1203873925852944,0.13284057865449606,0.2303653681379662,832377,0.08794252558497047,0.0,0.3575420379638672,236.7972114086151,24.19449019432068,261.3492436408997,261.3492436408997
13,Multi-PCMS-Mean,e=128,0.01817838381762354,0.13447523034540568,0.014497005293758313,0.11979217662494987,0.13250321549263647,0.2289104895024469,832377,0.08861916874483652,0.0,0.0011191368103027344,229.3215193748474,36.597097396850586,265.9197359085083,265.9197359085083
14,Multi-PCMS-Mean,e=2,0.029611770025201694,0.14848832516528107,0.028034965462496862,0.14372935807074275,0.1423806721577633,0.6093066228605712,1099613,3.833672293858649e-06,0.0,0.0008699893951416018,219.54817390441886,25.12650752067566,244.67555141448966,244.67555141448966
15,Multi-PCMS-Mean,e=4,0.02163767715306736,0.13950953066939434,0.016387084402024358,0.1186086453143899,0.13911054969110184,0.3492743816765799,1314799,1.5334689175434595e-05,0.0,0.004688262939453125,214.74349975585938,35.12263774871826,249.8708257675171,249.8708257675171
16,Multi-PCMS-Mean,e=8,0.019217393355839624,0.13655277059996396,0.016373750192881925,0.12597010118978022,0.1361720398778592,0.266252374480777,1199271,0.03045085903011925,0.0,0.0008630752563476562,234.31887793540955,35.14955186843872,269.46929287910456,269.46929287910456
17,Multi-PCMS-Mean,e=16,0.018409796433009176,0.13486063456039518,0.01486054345991651,0.12046659625488555,0.13395809412815582,0.2247892917865488,124963,0.0765316000023002,0.0,0.003069639205932617,247.9513733386993,23.107086181640625,271.0615291595459,271.0615291595459
18,Multi-PCMS-Mean,e=32,0.018437955159117853,0.13534999008954066,0.014962778234757194,0.12152944356163488,0.1338373334508993,0.2270051543723991,832377,0.0878792699921218,0.0,0.000629425048828125,253.76740765571603,27.158013343811035,280.9260504245758,280.9260504245758
19,Multi-PCMS-Mean,e=64,0.018170645721496955,0.13442758026727722,0.014449997890467062,0.11957292890646415,0.13260480780842376,0.2316247294864988,832377,0.08477591227024323,0.0,0.001957416534423828,251.21190333366403,25.082210779190067,276.29607152938837,276.29607152938837
