,freq_oracle,info,mse,average_error,k_mse,k_average_error,median_abs_deviation,max_error,max_item,min_error,client_time,server_init_time,server_agg_time,server_est_time,server_time,total_time
0,Multi-PCMS-Mean,e=2,0.1957348714857569,0.390901705499998,0.08558465828200003,0.249969,0.38344,1.3504399999999999,6350,0.00014,0.0,0.0007715225219726562,54.28147768974304,2.401280879974365,56.68353009223938,56.68353009223938
1,Multi-PCMS-Mean,e=4,0.15855238980699365,0.37345175820000215,0.07922190168799999,0.2531248,0.36683,1.10802,81621,1e-05,0.0,0.0007047653198242188,46.92987108230591,1.6962029933929443,48.62677884101868,48.62677884101868
2,Multi-PCMS-Mean,e=8,0.15404986821238048,0.3785628552000008,0.07594118237599999,0.248088,0.36801999999999996,0.9718,7173,0.0124,0.0,0.0011043548583984377,60.38522386550903,2.6070916652679443,62.99341988563538,62.99341988563538
3,Multi-PCMS-Mean,e=16,0.15378370487842832,0.3800483585000011,0.068962045936,0.2372192,0.36644,0.88129,41270,0.00406,0.0,0.0005388259887695311,52.02060604095459,1.392547369003296,53.413692235946655,53.413692235946655
4,Multi-PCMS-Mean,e=32,0.14962567980195018,0.3754944188000081,0.06394525977599999,0.22786040000000005,0.35962,0.92191,81621,0.00275,0.0,0.0005397796630859375,56.37961173057556,2.6497552394866943,59.02990674972534,59.02990674972534
5,Multi-PCMS-Mean,e=64,0.15206064801402885,0.3787995866000067,0.06649244731199999,0.23256919999999995,0.3629,0.9146,81621,0.00039,0.0,0.0016567707061767578,48.37674522399902,2.53438687324524,50.91278886795044,50.91278886795044
6,Multi-PCMS-Mean,e=128,0.15215308667494004,0.37887372839999583,0.06600477646000001,0.2320336000000001,0.36252,0.9193,81621,0.00066,0.0,0.0009083747863769533,57.52583312988281,1.3594920635223389,58.88623356819153,58.88623356819153
7,Multi-PCMS-Mean,e=2,0.17755083019660925,0.36539333440000105,0.084152042262,0.23022179999999998,0.35402,1.3089,48974,6e-05,0.0,0.0010366439819335938,53.42111611366272,1.3680555820465088,54.790208339691155,54.790208339691155
8,Multi-PCMS-Mean,e=4,0.1639631380519499,0.3813757162000015,0.078589284194,0.249321,0.37509000000000003,1.02216,6706,0.0001,0.0,0.0004980564117431642,51.22394251823425,1.8319344520568848,53.05637502670288,53.05637502670288
9,Multi-PCMS-Mean,e=8,0.1580388762050493,0.3834108091000013,0.06733249093600001,0.23060360000000002,0.37348,0.96284,81621,0.00123,0.0,0.0006859302520751952,49.64919877052307,1.7979252338409424,51.447809934616096,51.447809934616096
10,Multi-PCMS-Mean,e=16,0.15416755933748702,0.3804787334000047,0.069122891652,0.2381252,0.36593000000000003,0.9344,61796,0.0034799999999999996,0.0,0.0005140304565429689,56.18592262268066,2.645493507385254,58.83193016052246,58.83193016052246
11,Multi-PCMS-Mean,e=32,0.15109054817130838,0.3772131245999971,0.066042276416,0.231652,0.36147,0.92593,81621,0.00425,0.0,0.0006926059722900393,55.22729468345642,1.4513695240020752,56.679356813430786,56.679356813430786
12,Multi-PCMS-Mean,e=64,0.1513358667988534,0.3776903142000074,0.066081305504,0.2322984,0.36124,0.91643,81621,0.00316,0.0,0.0010232925415039062,60.26777768135071,1.4176945686340332,61.68649554252625,61.68649554252625
13,Multi-PCMS-Mean,e=128,0.1522819202510313,0.3791131209999996,0.065771915816,0.2318004000000001,0.36272,0.9214,81621,0.00338,0.0,0.0004899501800537108,60.548094749450684,1.3511977195739746,61.89978241920471,61.89978241920471
14,Multi-PCMS-Mean,e=2,0.21022403186570274,0.4018717012000047,0.13307810601600004,0.314322,0.39111,1.40602,26639,1e-05,0.0,0.0006861686706542969,56.67671227455139,2.2627489566802983,58.940147399902344,58.940147399902344
15,Multi-PCMS-Mean,e=4,0.16670483646413753,0.38633333619999255,0.07926751979399999,0.2466234,0.38026,1.01005,83146,0.00012,0.0,0.002237081527709961,51.74225974082947,1.339548110961914,53.08404493331909,53.08404493331909
16,Multi-PCMS-Mean,e=8,0.14873987527661486,0.3703943344000025,0.06728326117399998,0.2341014,0.35944499999999996,1.00509,81621,0.02421,0.0,0.00049591064453125,57.37299752235413,1.334917068481445,58.7084105014801,58.7084105014801
17,Multi-PCMS-Mean,e=16,0.15133183486459226,0.3768018631000041,0.06569859057,0.2314902000000001,0.36101,0.90517,11187,0.00043,0.0,0.0006530284881591798,53.858140468597405,1.4609127044677734,55.31970620155335,55.31970620155335
18,Multi-PCMS-Mean,e=32,0.15090621989242942,0.3770835000000041,0.064823116206,0.2295106,0.36113,0.93004,81621,0.00248,0.0,0.0006544589996337893,52.18425273895264,1.3491528034210205,53.53406000137329,53.53406000137329
19,Multi-PCMS-Mean,e=64,0.15206688672413304,0.3788024296999995,0.06637873103800003,0.23235219999999998,0.36289,0.92717,81621,0.00427,0.0,0.0010306835174560547,55.50466275215149,1.3241779804229736,56.82987141609192,56.82987141609192
20,Multi-PCMS-Mean,e=128,0.15201762922221584,0.3787294904999972,0.06650696222000001,0.23268879999999995,0.362535,0.9171600000000001,81621,0.0003,0.0,0.002553939819335937,49.105931520462036,1.3509392738342283,50.4594247341156,50.4594247341156
21,Multi-PCMS-Mean,e=2,0.17185812202184422,0.3597886475000005,0.08732033259400003,0.2378550000000001,0.347465,1.28703,24188,1e-05,0.0,0.006368398666381836,59.51611137390137,1.3389737606048584,60.86145353317261,60.86145353317261
